t = 0
0, 0.0
1, 0.15643446504023087
2, 0.3090169943749474
3, 0.45399049973954675
4, 0.5877852522924731
5, 0.7071067811865475
6, 0.8090169943749475
7, 0.8910065241883678
8, 0.9510565162951535
9, 0.9876883405951378
t = 1
0, 0.0
1, 0.013266420501270191
2, 0.02620617770107374
3, 0.038500651832559456
4, 0.04984711213958986
5, 0.059966171112663044
6, 0.06860866393663063
7, 0.07556178375537731
8, 0.08065432168288388
9, 0.08376088253421073
t = 2
0, 0.0
1, 0.0011250584254004381
2, 0.0022224141785126745
3, 0.0032650467187801415
4, 0.00422728297276244
5, 0.005085429490407488
6, 0.005818355856425859
7, 0.006408014991243026
8, 0.006839887529993324
9, 0.007103339337469936
t = 3
0, 0.0
1, 9.541054879447878e-05
2, 0.00018847177322818033
3, 0.0002768921971030503
4, 0.00035849461613272676
5, 0.0004312697079377972
6, 0.0004934255082313387
7, 0.0005434315349268493
8, 0.0005800564736865982
9, 0.0006023984969671176
t = 4
0, 0.0
1, 8.091288963969632e-06
2, 1.5983343540197835e-05
3, 2.3481835152790393e-05
4, 3.04021260521784e-05
5, 3.6573815709290184e-05
6, 4.184493664210401e-05
7, 4.608569635940657e-05
8, 4.9191673282683305e-05
9, 5.108638795193673e-05
t = 5
0, 0.0
1, 6.861815378452708e-07
2, 1.3554670089228305e-06
3, 1.9913763837036194e-06
4, 2.5782514629183182e-06
5, 3.10164143438994e-06
6, 3.5486586999891276e-06
7, 3.90829621107158e-06
8, 4.171698498545978e-06
9, 4.332379723912629e-06
t = 6
0, 0.0
1, 5.819160642715478e-08
2, 1.149503423772037e-07
3, 1.6887861939961176e-07
4, 2.1864854433639705e-07
5, 2.6303461645870504e-07
6, 3.0094390336195673e-07
7, 3.3144295258888396e-07
8, 3.5378077632697874e-07
9, 3.6740734322082247e-07
t = 7
0, 0.0
1, 4.934937581104754e-09
2, 9.748360620843873e-09
3, 1.432174666914379e-08
4, 1.854248378329727e-08
5, 2.230664340773047e-08
6, 2.552153943996029e-08
7, 2.8108010470045e-08
8, 3.000236899721872e-08
9, 3.1157969627526933e-08
t = 8
0, 0.0
1, 4.1850724571225314e-10
2, 8.267094540891537e-10
3, 1.2145553320150038e-09
4, 1.5724948267885976e-09
5, 1.891714280115533e-09
6, 2.1643534496262754e-09
7, 2.3836990541299425e-09
8, 2.5443500768773292e-09
9, 2.6423507565182187e-09
t = 9
0, 0.0
1, 3.5491495451589254e-11
2, 7.010907249564012e-11
3, 1.0300033149617677e-10
4, 1.3335538049677574e-10
5, 1.6042677744841048e-10
6, 1.835479347133163e-10
7, 2.0214953266490955e-10
8, 2.1577353822645797e-10
9, 2.2408448316555405e-10
