t = 0
0, -0.13051718
1, -0.112308875
2, -0.088317946
3, -0.058380026
4, -0.02057786
5, 0.025481738
6, 0.079772115
7, 0.14443466
8, 0.22039354
9, 0.30731744
t = 1
0, -0.010616746
1, 0.08603801
2, 0.1830419
3, 0.28040436
4, 0.3785323
5, 0.4785819
6, 0.5794138
7, 0.6831434
8, 0.7910651
9, 0.9034181
t = 2
0, -0.07044774
1, 0.043466214
2, 0.1580356
3, 0.2716688
4, 0.38427803
5, 0.49710202
6, 0.61137086
7, 0.7267385
8, 0.8446352
9, 0.96522117
t = 3
0, -0.06912284
1, 0.04209939
2, 0.15502167
3, 0.2695621
4, 0.38523075
5, 0.50062186
6, 0.61647916
7, 0.73376995
8, 0.8523652
9, 0.9717211
t = 4
0, -0.049288176
1, 0.061823796
2, 0.17323855
3, 0.28488395
4, 0.39683706
5, 0.5094947
6, 0.62261456
7, 0.7364075
8, 0.85047877
9, 0.964937
t = 5
0, -0.03299527
1, 0.075919256
2, 0.18513879
3, 0.2942027
4, 0.40397513
5, 0.51481926
6, 0.6252259
7, 0.7345969
8, 0.8426451
9, 0.95023733
t = 6
0, -0.015383511
1, 0.09003669
2, 0.19505505
3, 0.30071592
4, 0.40682712
5, 0.512675
6, 0.6179097
7, 0.7223256
8, 0.82591844
9, 0.9280777
t = 7
0, 0.0035925284
1, 0.10315034
2, 0.20367788
3, 0.30472746
4, 0.40538272
5, 0.50545055
6, 0.6053509
7, 0.7045916
8, 0.80304694
9, 0.9007911
t = 8
0, 0.0205657
1, 0.11417511
2, 0.20905821
3, 0.3045032
4, 0.3999667
5, 0.4948576
6, 0.5894812
7, 0.683805
8, 0.7772579
9, 0.8701038
t = 9
0, 0.03585944
1, 0.12357944
2, 0.21219553
3, 0.30178562
4, 0.39184836
5, 0.4817447
6, 0.5714153
7, 0.66093165
8, 0.75005704
9, 0.83848214
